name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
AENA,Aena SME SA,BME,23.42,EUR,1.30,-2.82,-11.02,-14.84,1.43,-1.18,2.90,60.03,92.60,259.75,1.82,2.41,23.44,24.97,25.19,25.52,24.63,40.31,2,SIDEWAYS,NEUTRAL
HEI,Heidelberg Materials AG,XETR,180.75,EUR,-1.58,-5.19,-4.37,-5.61,-14.98,-20.06,-3.08,140.74,140.20,367.02,2.48,2.93,185.47,185.87,181.04,199.88,201.66,43.10,2,SIDEWAYS,NEUTRAL
SEB_A,Skandinaviska Enskilda Banken AB Class A,OMXSTO,177.80,SEK,-0.84,-2.12,-1.22,-8.63,-4.18,-9.08,11.96,66.01,138.02,298.43,1.31,1.60,180.29,180.12,180.82,188.24,184.46,43.17,2,SIDEWAYS,NEUTRAL
AD,Koninklijke Ahold Delhaize N.V.,EURONEXT,36.56,EUR,0.16,-5.16,-11.07,-7.14,0.47,5.18,1.61,55.51,77.83,86.37,1.45,1.78,37.86,40.06,40.45,38.09,36.58,24.40,2,SIDEWAYS,OVERSOLD
KER,Kering SA,EURONEXT,243.40,EUR,1.16,-0.45,-11.41,-13.02,-24.17,-19.10,27.50,-65.72,69.15,851.80,2.74,3.66,238.54,249.41,250.00,267.91,271.59,48.63,2,SIDEWAYS,NEUTRAL
LDO,Leonardo SpA,MIL,49.77,EUR,-0.15,-12.23,-13.63,-6.10,-1.92,0.54,8.47,611.95,367.28,257.29,3.66,3.47,52.40,55.29,57.36,56.34,52.91,33.87,2,SIDEWAYS,NEUTRAL
HNR1,Hannover Rueck SE,XETR,236.40,EUR,0.60,-4.60,-13.72,-5.44,-9.36,-10.86,-12.18,60.87,144.72,977.82,1.61,1.87,246.62,263.38,260.80,254.98,254.93,27.04,2,SIDEWAYS,OVERSOLD
IMB,Imperial Brands PLC,LSE,2840.00,GBX,3.05,0.48,-5.22,-13.52,-11.03,-8.97,4.53,79.63,-24.39,901.95,3.00,2.16,2789.75,2868.03,2972.44,3059.10,3087.64,49.09,2,SIDEWAYS,NEUTRAL
KOG,Kongsberg Gruppen ASA,OSL,292.30,NOK,-1.95,-11.42,-28.57,-19.47,18.63,12.06,-7.76,586.15,1174.47,5240.62,4.85,3.81,308.60,356.22,373.53,347.29,316.62,28.68,2,SIDEWAYS,OVERSOLD
RYA,Ryanair Holdings PLC,EURONEXT,22.58,EUR,-1.10,-7.72,-12.07,-15.62,-16.06,-22.78,0.80,37.68,76.41,65.79,2.62,3.47,23.08,24.06,24.64,26.55,26.22,41.90,2,SIDEWAYS,NEUTRAL
SHB_A,Svenska Handelsbanken AB Class A,OMXSTO,128.95,SEK,-0.62,-0.96,0.43,-10.30,0.23,-4.27,1.46,33.08,26.05,258.19,1.31,1.51,129.77,129.35,132.37,135.72,129.90,43.66,2,SIDEWAYS,NEUTRAL
SAMPO,Sampo Oyj,OMXHEX,8.84,EUR,-0.83,-2.41,-4.95,-1.78,-11.86,-14.59,-3.64,11.03,12.67,531.43,1.35,1.60,8.84,9.11,9.15,9.39,9.59,41.47,1,DOWN,NEUTRAL
AM,Dassault Aviation SA,EURONEXT,284.40,EUR,0.49,-7.54,-13.97,-12.38,3.27,4.41,-5.20,189.91,187.21,11416.23,2.44,2.60,293.40,310.55,319.74,317.85,296.96,33.56,2,SIDEWAYS,NEUTRAL
AV.,Aviva plc,LSE,625.60,GBX,1.36,-0.19,-0.54,0.45,-2.58,-8.78,9.14,54.81,14.54,-52.41,3.26,2.09,622.11,627.44,626.83,643.06,652.39,49.69,2,SIDEWAYS,NEUTRAL
SGSN,SGS SA,SIX,84.68,CHF,0.19,-1.53,0.76,-9.61,-7.39,-6.55,0.55,-22.65,1.24,332.04,1.57,1.93,85.06,85.30,86.93,90.18,88.09,45.09,2,SIDEWAYS,NEUTRAL
NXT,Next plc,LSE,12595.00,GBX,0.80,-4.33,-6.50,-1.22,-11.61,-8.07,2.86,56.34,136.97,4898.02,2.16,2.29,12853.00,13113.50,12921.10,13179.80,13044.00,41.33,2,SIDEWAYS,NEUTRAL
CSG,CSG N.V.,EURONEXT,16.27,EUR,2.01,-5.36,-28.12,-44.22,-49.16,-49.16,-49.16,-49.16,-49.16,-49.16,4.80,7.05,16.31,20.06,23.37,0.00,0.00,30.98,2,SIDEWAYS,NEUTRAL
DIM,Sartorius Stedim Biotech SA,EURONEXT,161.80,EUR,0.62,-3.29,-7.81,-4.71,-15.46,-22.73,-20.49,-55.08,193.54,647100.00,3.09,4.37,161.74,168.49,167.79,181.84,185.42,45.57,2,SIDEWAYS,NEUTRAL
STMN,Straumann Holding AG,SIX,83.54,CHF,0.00,-2.75,0.29,-15.90,-16.92,-11.05,-25.84,-37.14,125.02,1686.95,2.67,2.87,85.05,85.34,84.28,90.19,92.28,45.05,2,SIDEWAYS,NEUTRAL
GMAB,Genmab A/S,OMXCOP,1684.00,DKK,-1.66,-4.29,-5.21,-11.60,-13.29,-15.59,24.93,-24.55,66.07,622.75,4.97,3.26,1705.25,1740.18,1731.85,1874.71,1845.05,44.98,2,SIDEWAYS,NEUTRAL
SRT3,Sartorius AG Pref,XETR,212.70,EUR,0.61,-5.59,-2.83,-4.40,-6.55,-14.10,-8.59,-49.18,289.38,11799.30,3.73,4.66,217.14,219.98,218.37,231.48,223.51,44.20,2,SIDEWAYS,NEUTRAL
TRYG,Tryg A/S,OMXCOP,150.40,DKK,0.47,-0.33,-2.53,-1.05,-6.64,-9.40,-6.47,5.29,53.37,288.05,1.05,1.78,150.31,153.46,153.50,155.64,159.04,44.55,2,SIDEWAYS,NEUTRAL
SGRO,SEGRO plc,LSE,700.40,GBX,0.29,-2.48,-0.11,-10.98,-2.18,-2.80,7.75,-29.90,72.74,54.56,2.40,2.50,702.02,699.06,708.63,732.28,700.59,48.68,2,SIDEWAYS,NEUTRAL
ADP,Aeroports de Paris,EURONEXT,107.40,EUR,2.09,-0.83,-4.96,-3.24,-11.89,-3.16,-5.54,-6.93,-0.09,153328.57,1.63,2.80,105.62,109.16,107.60,110.69,114.24,49.59,2,SIDEWAYS,NEUTRAL
ORK,Orkla ASA,OSL,109.30,NOK,-0.27,-2.32,-11.14,-12.70,0.55,-3.27,0.92,29.84,45.15,276.90,1.45,1.38,111.58,117.07,118.47,117.67,112.60,29.39,2,SIDEWAYS,OVERSOLD
GBLB,Groupe Bruxelles Lambert SA,EURONEXT,77.30,EUR,-6.08,-5.90,-4.80,-6.59,4.18,1.98,7.59,-15.00,5.21,35.24,1.43,1.27,80.83,80.42,79.78,79.98,77.64,37.26,2,SIDEWAYS,NEUTRAL
SKA_B,Skanska AB Class B,OMXSTO,248.70,SEK,0.40,-3.45,-2.01,-7.20,1.10,-2.13,7.24,6.24,38.94,137.99,2.17,1.83,251.47,251.60,253.42,259.93,252.27,45.69,2,SIDEWAYS,NEUTRAL
SGE,Sage Group plc,LSE,847.60,GBX,0.00,-4.68,0.45,6.80,-22.31,-21.88,-34.19,31.82,43.78,4138.00,2.60,2.84,878.02,875.88,858.77,908.72,1009.35,42.02,2,SIDEWAYS,NEUTRAL
SBRY,J Sainsbury plc,LSE,307.00,GBX,0.62,-5.54,-12.46,-12.34,-5.25,-5.60,12.13,18.08,21.10,-41.98,2.15,2.10,315.99,335.62,337.03,334.03,327.37,27.89,2,SIDEWAYS,OVERSOLD
STJ,St. James's Place Plc,LSE,1182.00,GBX,1.90,-4.48,-7.84,-6.12,-10.52,-14.66,8.14,-12.74,37.84,1377.50,2.53,2.76,1195.60,1235.98,1246.30,1327.85,1316.15,43.27,2,SIDEWAYS,NEUTRAL
