name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
LH,Labcorp Holdings Inc.,NYSE,256.41,USD,0.78,0.22,-2.55,-12.19,-3.96,2.03,2.77,8.96,135.32,1124.51,1.61,2.57,255.83,263.41,265.00,267.18,268.70,43.14,2,SIDEWAYS,NEUTRAL
STE,STERIS plc,NYSE,211.89,USD,0.37,-1.24,-5.34,-13.18,-18.74,-16.39,-8.47,7.33,197.68,11590.48,3.36,3.11,211.10,218.11,219.47,237.26,242.42,44.05,2,SIDEWAYS,NEUTRAL
ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,82.92,USD,0.24,-0.56,-13.06,-13.22,-8.79,-7.84,-14.41,-48.77,-27.24,189.74,3.09,3.01,82.57,88.55,89.42,90.66,94.31,40.75,2,SIDEWAYS,NEUTRAL
HII,"Huntington Ingalls Industries, Inc.",NYSE,333.74,USD,-0.15,4.04,-16.33,-16.58,7.89,-1.86,48.04,54.18,117.86,834.31,2.95,3.56,331.99,367.67,383.51,393.35,341.78,35.87,2,SIDEWAYS,NEUTRAL
AVY,Avery Dennison Corporation,NYSE,160.68,USD,1.22,-3.79,-6.42,-17.05,-8.53,-11.57,-11.58,-26.70,112.14,2451.66,1.66,2.36,162.27,166.70,168.30,178.30,174.36,40.69,2,SIDEWAYS,NEUTRAL
BF.B,Brown-Forman Corporation Class B,NYSE,26.21,USD,0.19,-1.98,-10.52,-13.21,-5.96,0.31,-24.68,-66.55,-32.84,10515.76,3.83,4.02,26.43,27.56,26.33,27.06,27.83,45.31,2,SIDEWAYS,NEUTRAL
CLX,Clorox Company,NYSE,92.36,USD,0.39,2.56,-10.52,-27.00,-11.87,-8.65,-32.09,-49.05,-30.02,5062.20,2.93,3.01,89.64,97.37,101.66,107.33,111.44,43.08,2,SIDEWAYS,NEUTRAL
UHS,"Universal Health Services, Inc. Class B",NYSE,172.12,USD,0.65,2.24,-5.57,-25.87,-24.49,-20.98,-10.15,7.74,28.64,9003.87,2.79,3.61,168.85,175.39,180.32,197.75,200.83,46.26,2,SIDEWAYS,NEUTRAL
CAG,"Conagra Brands, Inc.",NYSE,14.23,USD,0.99,1.21,-1.18,-29.20,-18.69,-17.41,-37.45,-62.24,-59.92,6057.64,2.55,2.72,14.07,14.53,15.25,16.66,17.49,43.48,2,SIDEWAYS,NEUTRAL
MA,Mastercard Incorporated Class A,NYSE,493.06,USD,0.49,0.07,-2.94,-8.68,-11.33,-13.61,-14.74,36.09,415.75,12134.62,1.44,2.08,496.69,504.60,503.60,523.65,545.40,44.33,1,DOWN,NEUTRAL
NFLX,"Netflix, Inc.",NASDAQ,87.94,USD,0.43,-0.29,-14.72,11.16,-23.04,-6.58,-22.15,81.10,904.34,75944.58,2.17,2.58,88.36,94.73,94.72,90.63,102.73,39.02,1,DOWN,NEUTRAL
PG,Procter & Gamble Company,NYSE,143.30,USD,0.75,-3.17,0.04,-10.45,-3.89,0.13,-9.37,3.86,76.89,9835.40,1.65,1.90,144.88,144.96,146.22,148.92,150.12,44.76,1,DOWN,NEUTRAL
PLTR,Palantir Technologies Inc. Class A,NASDAQ,131.51,USD,1.12,-2.66,-2.17,-2.84,-21.24,-27.46,1.94,598.78,1215.10,1215.10,3.62,3.98,136.91,140.16,144.73,151.85,163.47,40.37,1,DOWN,NEUTRAL
WFC,Wells Fargo & Company,NYSE,74.40,USD,1.18,-7.79,-10.38,-16.69,-11.90,-20.26,-2.41,58.57,54.61,7024.55,2.81,2.25,77.18,80.44,79.45,84.87,84.19,36.50,1,DOWN,NEUTRAL
TMUS,"T-Mobile US, Inc.",NASDAQ,190.38,USD,0.05,-0.84,0.13,-10.57,-12.45,-5.87,-18.59,35.84,369.49,279.24,2.14,2.86,193.06,193.97,201.49,201.53,214.63,43.03,1,DOWN,NEUTRAL
MCD,McDonald's Corporation,NYSE,277.31,USD,0.59,-3.65,-8.48,-15.92,-10.09,-9.16,-10.03,20.15,115.79,158454.62,1.90,1.86,280.19,295.17,304.03,310.85,308.64,29.84,1,DOWN,OVERSOLD
T,AT&T Inc,NYSE,24.88,USD,0.57,-2.01,-1.27,-12.64,-3.83,0.36,-5.86,-1.63,-15.37,541.89,2.02,2.29,25.38,26.10,26.96,26.38,26.63,36.67,1,DOWN,NEUTRAL
TMO,Thermo Fisher Scientific Inc.,NYSE,447.41,USD,0.31,-5.48,-13.35,-15.07,-22.62,-22.79,4.06,-2.92,202.51,35459.06,3.02,2.89,461.64,486.19,485.84,528.16,527.19,35.89,1,DOWN,NEUTRAL
APH,Amphenol Corporation Class A,NYSE,123.84,USD,-0.64,-10.98,-16.25,-15.93,-4.98,-9.68,44.00,275.10,801.15,85583.74,4.75,3.82,132.20,140.01,136.11,140.06,132.39,35.03,1,DOWN,NEUTRAL
LOW,"Lowe's Companies, Inc.",NYSE,223.35,USD,1.32,-4.23,-9.53,-22.82,-3.01,-7.52,-2.68,13.01,197.72,44018.08,1.80,2.45,227.01,237.77,238.16,252.19,249.39,38.61,1,DOWN,NEUTRAL
COF,Capital One Financial Corp,NYSE,184.70,USD,1.74,-4.42,-6.72,-14.88,-13.68,-24.41,-8.41,16.88,169.52,3363.16,2.24,2.44,188.09,192.66,188.69,206.92,213.20,41.36,1,DOWN,NEUTRAL
INTU,Intuit Inc.,NASDAQ,374.95,USD,0.87,-5.17,0.35,-5.78,-42.37,-43.24,-42.84,-9.67,266.70,16261.62,3.02,3.71,392.37,391.79,413.33,466.55,571.51,41.34,1,DOWN,NEUTRAL
CEG,Constellation Energy Corporation,NASDAQ,275.22,USD,0.12,-14.80,-6.94,-1.16,-16.26,-23.12,-5.59,624.26,624.26,624.26,5.87,4.66,303.04,295.67,298.72,305.55,326.21,38.06,1,DOWN,NEUTRAL
ADBE,Adobe Inc.,NASDAQ,236.66,USD,0.25,-7.11,-2.20,-8.40,-28.91,-32.51,-40.37,-51.41,146.75,112091.73,2.78,3.27,247.97,244.11,248.20,272.90,308.75,42.10,1,DOWN,NEUTRAL
HCA,HCA Healthcare Inc,NYSE,429.55,USD,0.47,-0.04,-13.26,-19.26,-9.72,-7.78,16.72,103.44,450.56,1276.75,2.08,2.77,429.59,459.29,477.89,487.45,460.90,35.55,1,DOWN,NEUTRAL
